Cloud,Flavor,Matched_OpenStack_Flavor,Cores,Memory_GB,Boot_Storage_GB,GPU,Compute_Price_Per_Month,Storage_Price_Per_GB_Per_Month,Description,Notes
openstack,gp.small,,1,4,0,none,5.03,0.14,gp.small OpenStack flavor,Boot from disk - no attached storage charged
openstack,gp.medium,,2,8,0,none,10.06,0.14,gp.medium OpenStack flavor,Boot from disk - no attached storage charged
openstack,gp.large,,4,16,0,none,20.12,0.14,gp.large OpenStack flavor,Boot from disk - no attached storage charged
openstack,gp.xlarge,,8,32,0,none,40.24,0.14,gp.xlarge OpenStack flavor,Boot from disk - no attached storage charged
openstack,gp.2xlarge,,16,64,0,none,80.48,0.14,gp.2xlarge OpenStack flavor,Boot from disk - no attached storage charged
openstack,gp.4xlarge,,32,128,0,none,160.96,0.14,gp.4xlarge OpenStack flavor,Boot from disk - no attached storage charged
openstack,gp.6xlarge,,48,192,0,none,241.44,0.14,gp.6xlarge OpenStack flavor,Boot from disk - no attached storage charged
openstack,gpu.a100.x1,,24,230,0,a100,591.37,0.14,gpu.a100.x1 with 1x A100 GPU,Boot from disk - 1x A100 GPU
openstack,flash,,0,0,1,none,0.00,0.14,OpenStack flash storage per GB,Storage-only pricing for attached volumes
openstack,g1.a100.80gb.x1,,24,230,0,a100,591.37,0.14,g1.a100.80gb.x1 with 1x A100 GPU,Boot from disk - 1x A100 GPU
gcp,flash,,0,0,1,none,0.00,0.04,GCP pd-standard storage per GB,Storage-only pricing for attached volumes
azure,flash,,0,0,1,none,0.00,0.05,Azure Standard managed disk per GB,Storage-only pricing for attached volumes
rackspace,2GB Standard,,1,2,40,none,12.89,0.12,Rackspace 2GB Standard instance,Entry level general purpose
rackspace,4GB Standard,,2,4,80,none,25.79,0.12,Rackspace 4GB Standard instance,General purpose + 80GB SSD
rackspace,8GB Standard,,4,8,160,none,51.59,0.12,Rackspace 8GB Standard instance,General purpose + 160GB SSD
rackspace,16GB Standard,,8,16,320,none,103.18,0.12,Rackspace 16GB Standard instance,General purpose + 320GB SSD
